Date,Open,High,Low,Close,Volume
05/30/2023,"405.95","419.38","399.49","401.11","92,340,109"
05/26/2023,"378.90","391.70","375.50","389.46","71,439,680"
05/25/2023,"385.23","394.80","366.35","379.80","154,391,109"
05/24/2023,"302.10","306.07","298.06","305.38","72,141,852"
05/23/2023,"310.00","312.88","306.31","306.88","35,625,328"
05/22/2023,"309.01","315.20","306.80","311.76","37,199,969"
05/19/2023,"315.36","315.80","309.16","312.64","47,390,770"
05/18/2023,"304.10","318.28","303.20","316.78","74,872,492"
05/17/2023,"295.84","301.99","294.30","301.78","43,253,539"
05/16/2023,"288.41","298.70","288.32","292.13","44,940,488"
05/15/2023,"285.09","289.69","281.52","289.53","29,392,590"
05/12/2023,"285.29","287.80","280.46","283.40","27,422,230"
05/11/2023,"288.96","289.50","282.46","285.78","32,214,900"
05/10/2023,"290.05","291.13","284.61","288.85","36,935,000"
05/09/2023,"288.99","289.73","284.50","285.71","31,486,949"
05/08/2023,"285.22","292.20","283.50","291.51","34,497,887"
05/05/2023,"278.26","287.55","277.31","286.80","36,149,406"
05/04/2023,"276.51","278.59","272.40","275.62","32,185,039"
05/03/2023,"278.40","283.67","274.72","278.02","38,338,738"
05/02/2023,"286.80","288.36","280.83","282.10","40,272,961"
05/01/2023,"278.40","290.58","277.80","289.10","57,032,848"
04/28/2023,"272.25","277.58","270.71","277.49","29,221,609"
04/27/2023,"273.63","274.95","266.25","272.26","37,716,121"
04/26/2023,"270.02","273.30","267.05","269.56","40,633,680"
04/25/2023,"270.78","272.47","262.25","262.41","37,852,719"
04/24/2023,"270.13","273.66","266.71","270.42","33,928,191"
04/21/2023,"269.52","271.83","267.22","271.19","34,510,281"
04/20/2023,"276.71","280.30","270.00","271.04","42,771,328"
04/19/2023,"273.61","280.00","272.32","279.31","35,866,039"
04/18/2023,"275.34","281.10","273.57","276.67","60,481,152"
04/17/2023,"265.66","270.06","264.33","270.02","32,147,131"
04/14/2023,"265.04","268.83","262.20","267.58","39,566,008"
04/13/2023,"267.34","268.87","263.29","264.63","35,361,527"
04/12/2023,"273.70","274.68","264.48","264.95","44,625,898"
04/11/2023,"277.24","277.90","271.26","271.69","31,437,820"
04/10/2023,"268.23","276.21","266.69","275.79","39,527,859"
04/06/2023,"265.84","270.80","264.27","270.37","39,765,434"
04/05/2023,"268.29","269.98","263.95","268.81","51,501,473"
04/04/2023,"279.66","280.00","273.07","274.53","36,859,152"
04/03/2023,"275.09","280.00","273.36","279.65","39,871,559"
03/31/2023,"271.40","278.34","271.05","277.77","43,393,281"
03/30/2023,"272.29","274.99","271.02","273.83","36,451,566"
03/29/2023,"268.25","270.78","265.97","269.84","39,369,391"
03/28/2023,"264.47","265.13","258.50","264.10","35,610,379"
03/27/2023,"268.37","270.00","263.65","265.31","36,102,566"
03/24/2023,"270.31","271.67","263.55","267.79","45,541,406"
03/23/2023,"271.16","274.99","266.90","271.91","56,488,879"
03/22/2023,"264.25","275.89","262.37","264.68","79,729,516"
03/21/2023,"261.80","263.92","253.81","261.99","54,740,781"
03/20/2023,"256.15","260.24","251.30","259.00","43,274,719"
03/17/2023,"259.82","263.99","256.68","257.25","84,854,656"
03/16/2023,"240.27","255.88","238.94","255.41","58,494,633"
03/15/2023,"237.61","242.86","233.60","242.28","52,448,566"
03/14/2023,"234.96","242.19","234.60","240.63","47,491,008"
03/13/2023,"227.52","232.98","222.97","229.66","42,189,031"
03/10/2023,"234.09","236.27","227.26","229.65","47,486,566"
03/09/2023,"241.75","244.54","233.83","234.36","50,125,699"
03/08/2023,"234.87","242.00","234.24","241.81","51,357,340"
03/07/2023,"236.00","241.25","232.41","232.88","51,515,391"
03/06/2023,"238.91","242.48","234.87","235.54","43,742,922"
03/03/2023,"233.20","239.00","231.30","238.90","41,239,328"
03/02/2023,"224.88","233.80","224.32","233.14","39,007,473"
03/01/2023,"231.92","232.56","225.08","226.98","46,002,559"
02/28/2023,"233.72","238.25","232.06","232.16","45,596,281"
02/27/2023,"236.70","238.80","234.54","235.01","45,299,367"
02/24/2023,"232.25","234.74","229.47","232.86","58,971,594"
02/23/2023,"234.40","238.88","230.25","236.64","111,799,508"
02/22/2023,"207.07","211.04","204.21","207.54","51,318,434"
02/21/2023,"210.00","214.94","206.18","206.55","41,001,461"
02/17/2023,"216.31","217.40","209.75","213.88","46,588,762"
02/16/2023,"221.33","225.50","219.27","220.02","41,202,633"
02/15/2023,"225.49","228.55","221.06","227.64","42,118,832"
02/14/2023,"215.78","230.49","213.66","229.71","67,547,352"
02/13/2023,"215.38","220.48","209.62","217.88","47,491,859"
